Cross Section Report
Z:/cad/designs/uob-hep-pc072/hardware/Cadence/top/mtca_interface_board_reocc/front_panel_jtag_serial/physical/mib_fp_jtag_serial_18.brd
Mon Jul 29 17:23:58 2024

Design Cross Section
Subclass Name,Type,Material,Thickness (MM),Tol +,Tol -,Conductivity (mho/cm),Dielectric Constant,Loss Tangent,Negative Artwork,Shield,Width (MM),Unused Pin Pad Suppression,Unused Via Pad Suppression
,SURFACE,AIR,,,,0,1,0,,,,,
TOP,CONDUCTOR,1OZ_COPPER,0.035,0.00254,0.00254,580000,1,0,,,0.1871,,
,DIELECTRIC,FR-4,0.2,0,0,0,4.2,0.035,,,,,
02_GND,PLANE,1OZ_COPPER,0.035,0.00254,0.00254,580000,1,0,,Yes,,,
,DIELECTRIC,FR-4,1.060000,0,0,0,4.2,0.035,,,,,
03_VCC,PLANE,1OZ_COPPER,0.035,0.00254,0.00254,580000,1,0,,Yes,,,
,DIELECTRIC,FR-4,0.2,0,0,0,4.2,0.035,,,,,
BOTTOM,CONDUCTOR,1OZ_COPPER,0.035,0.00254,0.00254,580000,1,0,,,0.3272,,
,SURFACE,AIR,,,,0,1,0,,,,,

Total Thickness: 1.6 MM
