Cross Section Report
//ppfs6.physics.ox.ac.uk/CEG/Central Electronics/Projects/Hastingsp/DUNE/uob-hep-pc072/hardware/Cadence/top/mtca_interface_board_reocc/top_mib_v3/physical/mib_rev3ox_v224_manuf.brd
Thu Oct 17 07:18:00 2024

Design Cross Section
Subclass Name,Type,Material,Thickness (MM),Tol +,Tol -,Conductivity (mho/cm),Dielectric Constant,Loss Tangent,Negative Artwork,Shield,Width (MM),Unused Pin Pad Suppression,Unused Via Pad Suppression
,SURFACE,AIR,,,,0,1,0,,,,,
TOP,CONDUCTOR,1OZ_COPPER,0.035,0.1,0.1,580000,1,0,,,0.19,,
,DIELECTRIC,FR-4,0.12,0,0,0,4.2,0.035,,,,,
02_GND,PLANE,1OZ_COPPER,0.035,0.1,0.1,580000,1,0,,Yes,,,
,DIELECTRIC,FR-4,0.2,0,0,0,4.2,0.035,,,,,
03_SIG1,CONDUCTOR,1OZ_COPPER,0.035,0.1,0.1,580000,1,0,,,0.12,Yes,Yes
,DIELECTRIC,FR-4,0.12,0,0,0,4.2,0.035,,,,,
04_GND,PLANE,1OZ_COPPER,0.035,0,0,580000,1,0,,Yes,,,
,DIELECTRIC,FR-4,0.2,0,0,0,4.2,0.035,,,,,
05_PWR1,PLANE,1OZ_COPPER,0.035,0,0,580000,1,0,,Yes,,,
,DIELECTRIC,FR-4,0.12,0,0,0,4.2,0.035,,,,,
06_GND,PLANE,1OZ_COPPER,0.035,0.1,0.1,580000,1,0,,Yes,,,
,DIELECTRIC,FR-4,0.2,0,0,0,4.2,0.035,,,,,
07_SIG2,CONDUCTOR,1OZ_COPPER,0.035,0.1,0.1,580000,1,0,,,0.12,,
,DIELECTRIC,FR-4,0.12,0,0,0,4.2,0.035,,,,,
08_GND,PLANE,1OZ_COPPER,0.035,0.1,0.1,580000,1,0,,Yes,,,
,DIELECTRIC,FR-4,0.2,0,0,0,4.2,0.035,,,,,
09_SIG3,CONDUCTOR,1OZ_COPPER,0.035,0.1,0.1,580000,1,0,,,0.19,,
,DIELECTRIC,FR-4,0.12,0,0,0,4.2,0.035,,,,,
BOTTOM,CONDUCTOR,1OZ_COPPER,0.035,0.1,0.1,580000,1,0,,,0.33,,
,SURFACE,AIR,,,,0,1,0,,,,,

Total Thickness: 1.75 MM
