A!REFDES!COMP_REUSE_ID!COMP_SIGNAL_MODEL!COMP_NO_XNET_CONNECTION!COMP_PARENT_PPT!COMP_SYMBOL_EDITED!COMP_PARENT_PPT_PART!COMP_EMBEDDED_PLACEMENT!COMP_RKO_NUM_LAYERS!COMP_RKO_SHORT_SIDE_OVERSIZE!COMP_RKO_LONG_SIDE_OVERSIZE!COMP_RKO_REF_LAYER!COMP_ASI_MODEL!
J!C:/Users/phdgc/Downloads/uob-hep-pc072/hardware/Cadence/top/mtca_interface_board_reocc/top_mib_v3/physical/mib_rev3b_v226.brd!Tue Feb 25 10:41:57 2025!-1898.47!-1906.48!1911.53!1903.52!0.01!millimeters!TOP_MIB_V3!68.897638 mil!10!UP TO DATE!
S!R60!9!!!RSMD0603!!RSMD0603_1/10W-5.6K,1%!!!!!!!
S!R6!!!!RSMD0603!!RSMD0603_1/10W-75K,1%!!!!!!!
S!DS1!!!!WURTH_SMSW!!155060RS73200!!!!!!!
S!DS2!!!!WURTH_SMSW!!155124BS73200!!!!!!!
S!R4!!!!RSMD0603!!RSMD0603_1/10W-20,1%!!!!!!!
S!R7!!!!RSMD0603!!RSMD0603_1/16W-270,1%!!!!!!!
S!IC6!!!!LTC2991!!LTC2991CMS#PBF!!!!!!!
S!IC8!!!!854S01I!!854S01AKILF!!!!!!!
S!D12!!!!!!!!!!!!!
S!R81!!!!R!!R-DNF,R!!!!!!!
S!R103!256!!!R!!R-DNF,R!!!!!!!
S!J13!!!!!!!!!!!!!
S!F2!!!!!!!!!!!!!
S!R69!!!!RSMD0603!!RSMD0603_1/10W-1,1%!!!!!!!
S!R84!!!!RSMD0603!!RSMD0603_1/10W-1,1%!!!!!!!
S!F1!!!!!!!!!!!!!
S!SK1!!!!KKCON3!!KKCON3_STR-MOLEX!!!!!!!
S!PL1!!!!HEADER2X1!!HEADER2X1_STR-HARWIN!!!!!!!
S!IC7!!!!74AVC1T45!!SN74AVC1T45DCK!!!!!!!
S!U4!!!!ATMGA128!!ATMGA128-ATMEGA128A-AU,ATMGA128!!!!!!!
S!R87!!!!RSMD0805!!RSMD0805_125MW-0.27,1%!!!!!!!
S!C17!!!!TANTPOLY!!TANTPOLY_SMD-220UF,6.3V!!!!!!!
S!C44!!!!TANTPOLY!!TANTPOLY_SMD-220UF,6.3V!!!!!!!
S!C67!!!!TANTPOLY!!TANTPOLY_SMD-220UF,6.3V!!!!!!!
S!C70!!!!TANTPOLY!!TANTPOLY_SMD-220UF,6.3V!!!!!!!
S!C73!!!!TANTPOLY!!TANTPOLY_SMD-220UF,6.3V!!!!!!!
S!C74!!!!TANTPOLY!!TANTPOLY_SMD-220UF,6.3V!!!!!!!
S!C61!!!!TANTPOLY!!TANTPOLY_SMD-220UF,6.3V!!!!!!!
S!C63!!!!TANTPOLY!!TANTPOLY_SMD-220UF,6.3V!!!!!!!
S!R62!!!!RES_SR!!RES_SR_LVK12-0.05,1%!!!!!!!
S!R90!!!!RES_SR!!RES_SR_LVK12-0.05,1%!!!!!!!
S!C25!!!!ELCAPTAN!!ELCAPTAN_SMD-220UF,25V!!!!!!!
S!C51!!!!ELCAPTAN!!ELCAPTAN_SMD-220UF,25V!!!!!!!
S!C52!!!!ELCAPTAN!!ELCAPTAN_SMD-220UF,25V!!!!!!!
S!C58!!!!ELCAPTAN!!ELCAPTAN_SMD-220UF,25V!!!!!!!
S!R88!!!!RSMD0402!!RSMD0402_1/16W-6.2K,1%!!!!!!!
