Cross Section Report
C:/Users/phdgc/Downloads/uob-hep-pc072/hardware/Cadence/top/mtca_interface_board_reocc/top/physical/mib_rev2_v206.brd
Mon May 15 08:37:08 2023

Design Cross Section
Subclass Name,Type,Material,Thickness (MM),Tol +,Tol -,Conductivity (mho/cm),Dielectric Constant,Loss Tangent,Negative Artwork,Shield,Width (MM),Unused Pin Pad Suppression,Unused Via Pad Suppression
,SURFACE,AIR,,,,0,1,0,,,,,
TOP,CONDUCTOR,1OZ_COPPER,0.035,0.00254,0.00254,580000,1,0,,,0.1871,,
,DIELECTRIC,FR-4,0.12,0,0,0,4.2,0.035,,,,,
02_GND,PLANE,1OZ_COPPER,0.035,0.00254,0.00254,580000,1,0,,Yes,,,
,DIELECTRIC,FR-4,0.2,0,0,0,4.2,0.035,,,,,
03_SIG1,CONDUCTOR,1OZ_COPPER,0.035,0.00254,0.00254,580000,1,0,,,0.1250,Yes,Yes
,DIELECTRIC,FR-4,0.12,0,0,0,4.2,0.035,,,,,
04_GND,PLANE,1OZ_COPPER,0.035,0,0,580000,1,0,,Yes,,,
,DIELECTRIC,FR-4,0.2,0,0,0,4.2,0.035,,,,,
05_PWR1,PLANE,1OZ_COPPER,0.035,0,0,580000,1,0,,Yes,,,
,DIELECTRIC,FR-4,0.12,0,0,0,4.2,0.035,,,,,
06_GND,PLANE,1OZ_COPPER,0.035,0.00254,0.00254,580000,1,0,,Yes,,,
,DIELECTRIC,FR-4,0.2,0,0,0,4.2,0.035,,,,,
07_SIG2,CONDUCTOR,1OZ_COPPER,0.035,0.00254,0.00254,580000,1,0,,,0.1250,,
,DIELECTRIC,FR-4,0.12,0,0,0,4.2,0.035,,,,,
08_GND,PLANE,1OZ_COPPER,0.035,0.00254,0.00254,580000,1,0,,Yes,,,
,DIELECTRIC,FR-4,0.2,0,0,0,4.2,0.035,,,,,
09_SIG3,CONDUCTOR,1OZ_COPPER,0.035,0.00254,0.00254,580000,1,0,,,0.1917,,
,DIELECTRIC,FR-4,0.12,0,0,0,4.2,0.035,,,,,
BOTTOM,CONDUCTOR,1OZ_COPPER,0.035,0.00254,0.00254,580000,1,0,,,0.3272,,
,SURFACE,AIR,,,,0,1,0,,,,,

Total Thickness: 1.75 MM
