A!NET_NAME!REFDES!PIN_NUMBER!FUNC_LOGICAL_PATH!COMP_DEVICE_TYPE!FUNC_SCH_SIZE!FUNC_HAS_FIXED_SIZE!FUNC_DES!PIN_CDS_PINID!PIN_TERMINATION!PIN_TERM_IDENT!PIN_NET_SHORT!PIN_XNET_PINS!PIN_RKO_NUM_LAYERS!PIN_RKO_SHORT_SIDE_OVERSIZE!PIN_RKO_LONG_SIDE_OVERSIZE!
J!C:/Users/phdgc/Downloads/uob-hep-pc072/hardware/Cadence/top/mtca_interface_board_reocc/top_mib_v3/physical/mib_rev3b_v226.brd!Tue Feb 25 10:41:57 2025!-1898.47!-1906.48!1911.53!1903.52!0.01!millimeters!TOP_MIB_V3!68.897638 mil!10!UP TO DATE!
S!GND!R60!1!@mtca_interface_board_reocc.top_mib_v3(sch_1):page2_1p@mtca_interface_board_reocc.\02_ power\(sch_1):page4_i145@cnpassive.rsmd0603(chips)!RSMD0603_1/10W-5.6K,1%!1!!F47!A(0)!!!!!!!!
S!UNNAMED_4_PTH08T210W_I137_VADJ!R60!2!@mtca_interface_board_reocc.top_mib_v3(sch_1):page2_1p@mtca_interface_board_reocc.\02_ power\(sch_1):page4_i145@cnpassive.rsmd0603(chips)!RSMD0603_1/10W-5.6K,1%!1!!F47!B(0)!!!!!!!!
S!GND!R6!1!@mtca_interface_board_reocc.top_mib_v3(sch_1):page2_1p@mtca_interface_board_reocc.\02_ power\(sch_1):page4_i195@cnpassive.rsmd0603(chips)!RSMD0603_1/10W-75K,1%!1!!F46!A(0)!!!!!!!!
S!UNNAMED_4_PTH08T210W_I137_VADJ!R6!2!@mtca_interface_board_reocc.top_mib_v3(sch_1):page2_1p@mtca_interface_board_reocc.\02_ power\(sch_1):page4_i195@cnpassive.rsmd0603(chips)!RSMD0603_1/10W-75K,1%!1!!F46!B(0)!!!!!!!!
S!MP3V3!DS1!2!@mtca_interface_board_reocc.top_mib_v3(sch_1):page2_5p@mtca_interface_board_reocc.\01_ module management ctrl\(sch_1):page1_i252@bris_cds_discrete.wurth_smsw(chips)!155060RS73200!!!F462!A!!!!!!!!
S!UNNAMED_1_RSMD0603_I250_B!DS1!1!@mtca_interface_board_reocc.top_mib_v3(sch_1):page2_5p@mtca_interface_board_reocc.\01_ module management ctrl\(sch_1):page1_i252@bris_cds_discrete.wurth_smsw(chips)!155060RS73200!!!F462!\wurth smsw\!!!!!!!!
S!MP3V3!DS2!2!@mtca_interface_board_reocc.top_mib_v3(sch_1):page2_5p@mtca_interface_board_reocc.\01_ module management ctrl\(sch_1):page1_i251@bris_cds_discrete.wurth_smsw(chips)!155124BS73200!!!F461!A!!!!!!!!
S!UNNAMED_1_RSMD0603_I249_B!DS2!1!@mtca_interface_board_reocc.top_mib_v3(sch_1):page2_5p@mtca_interface_board_reocc.\01_ module management ctrl\(sch_1):page1_i251@bris_cds_discrete.wurth_smsw(chips)!155124BS73200!!!F461!\wurth smsw\!!!!!!!!
S!BLUE_LED!R4!1!@mtca_interface_board_reocc.top_mib_v3(sch_1):page2_5p@mtca_interface_board_reocc.\01_ module management ctrl\(sch_1):page1_i249@cnpassive.rsmd0603(chips)!RSMD0603_1/10W-20,1%!1!!F48!A(0)!!!!!!!!
S!UNNAMED_1_RSMD0603_I249_B!R4!2!@mtca_interface_board_reocc.top_mib_v3(sch_1):page2_5p@mtca_interface_board_reocc.\01_ module management ctrl\(sch_1):page1_i249@cnpassive.rsmd0603(chips)!RSMD0603_1/10W-20,1%!1!!F48!B(0)!!!!!!!!
S!RED_LED!R7!1!@mtca_interface_board_reocc.top_mib_v3(sch_1):page2_5p@mtca_interface_board_reocc.\01_ module management ctrl\(sch_1):page1_i250@cnpassive.rsmd0603(chips)!RSMD0603_1/16W-270,1%!1!!F43!A(0)!!!!!!!!
S!UNNAMED_1_RSMD0603_I250_B!R7!2!@mtca_interface_board_reocc.top_mib_v3(sch_1):page2_5p@mtca_interface_board_reocc.\01_ module management ctrl\(sch_1):page1_i250@cnpassive.rsmd0603(chips)!RSMD0603_1/16W-270,1%!1!!F43!B(0)!!!!!!!!
S!MP3V3!IC6!16!!LTC2991CMS#PBF-VCC=MP3V3!!!!!!!!!!!!
S!GND!IC6!9!!LTC2991CMS#PBF-VCC=MP3V3!!!!!!!!!!!!
